rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,text_clean,title_clean,full_text,sentiment,ai_sentiment,keywords,complaint
5.0,Easy..,Reloading is easy. Shopping is easy. Amazon is easy.,[],B00IX1I3G6,B00IX1I3G6,AFO3G62P2JXCNMWZTAIB56KPG56A,1466368648000,0,True,Reloading is easy. Shopping is easy. Amazon is easy.,Easy..,Easy... Reloading is easy. Shopping is easy. Amazon is easy.,正面,,,
1.0,One Star,Card did not work!!!!,[],B00X6G8WCI,B00X6G8J3A,AEMW2ADCJBXXCQLXQVM3RJEK53TQ,1505610792650,0,False,Card did not work!!!!,One Star,One Star. Card did not work!!!!,负面,负面,礼品卡无效,[卡片无法使用]
5.0,Great Product.,I bought this for a Christmas gift.The recipient really liked it.,[],B01K8RMDO0,B077N4CNVJ,AECK3BJSJOAFSKAAUD4ILDFXZ7KQ,1545086272871,0,True,I bought this for a Christmas gift.The recipient really liked it.,Great Product.,Great Product.. I bought this for a Christmas gift.The recipient really liked it.,正面,,,
5.0,No note attached to sent gift card,"What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .",[],B01IE42ST4,B0BT85F69N,AH5ZBPCVWAAGJCOPLXMFXD7PGIJQ,1588871215900,0,False,"What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .",No note attached to sent gift card,"No note attached to sent gift card. What a pretty gift card presentation , the recipient loved it ! I have one complaint , I took the time and wrote a short note to the recipient of the gift card so she knew who and why the GC was being sent but the note wasn’t attached. I’ve used the option to write a note on many occasions and several times it showed up without the note . I actually had to contact her to ask if she had checked her mail knowing it had arrived .",正面,,,
5.0,Gift card,Perfect! Arrived just when stated!,[],B06W5SBSL7,B071X4ZX3X,AFWK5HW3FB4HNVYJUHU5ZW7NPCYA,1560630089067,0,True,Perfect! Arrived just when stated!,Gift card,Gift card. Perfect! Arrived just when stated!,正面,,,
5.0,Good,Good gift card,[],B078VSWVGY,B00BXLW5QC,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1652642526420,0,False,Good gift card,Good,Good. Good gift card,正面,,,
5.0,Good Product,Good Product,[],B072F9T6VX,B018F4M89S,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1647201883803,0,False,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good Product,Good Product,[],B01C9MW8Z6,B00JFBLZ90,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1643574023858,0,True,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good Product,Good Product,[],B072BQ7XSH,B072BQ7XSH,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1625865123309,0,False,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good Product,Good Product,[],B01IE42ST4,B0BT85F69N,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1621794097012,0,False,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good Product,Good Product,[],B07HJD9FVV,B07HJD9FVV,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1618607813583,0,True,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good product,Good product,[],B07HJHK8Y5,B07HJHK8Y5,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1610319642327,0,True,Good product,Good product,Good product. Good product,正面,,,
5.0,Good product,Good product,[],B00BXLWD0U,B00BXLWCJ2,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1610319551349,0,True,Good product,Good product,Good product. Good product,正面,,,
5.0,Good Product,Good Product,[],B01MSBQB1P,B01MSBQB1P,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1600998736261,0,True,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good Product,Good Product,[],B01K8RMDO0,B077N4CNVJ,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1594616189941,0,True,Good Product,Good Product,Good Product. Good Product,正面,,,
5.0,Good,Good,[],B07PFLG7VG,B00VTVA1T4,AFDMZ4TRX3HXQQUGWAHJQTIF65BQ,1594616023131,0,True,Good,Good,Good. Good,正面,,,
5.0,Gift card,Perfect for Christmas,[],B07FK7L976,B00ADR2LV6,AFEJKJ56OD6H2XH55DGHJI2526MA,1646362028105,0,True,Perfect for Christmas,Gift card,Gift card. Perfect for Christmas,正面,,,
5.0,So easy,Easy to do,[],B00IX1I3G6,B00IX1I3G6,AEINWALDRYT4NTF3M5NC2WZ5YQNA,1587064572520,0,True,Easy to do,So easy,So easy. Easy to do,正面,,,
2.0,Mistake,Hit button by mistake n deduction from credit card on file,[],B00IX1I3G6,B00IX1I3G6,AHVPSZCUQH3UMQCGQSDZ7BZVUHNQ,1576194477554,0,True,Hit button by mistake n deduction from credit card on file,Mistake,Mistake. Hit button by mistake n deduction from credit card on file,中性,中性,误操作,[无]
5.0,Great gift idea,Always great to order from my home. Amazon rocks!,[],B01K8RL9C2,B018F4H5DM,AFPHKIJFGIU4G4POXRFCEF5RJJHA,1607184498800,0,True,Always great to order from my home. Amazon rocks!,Great gift idea,Great gift idea. Always great to order from my home. Amazon rocks!,正面,,,
5.0,Secure,So easy to use and recipients get to choose how to use it.,[],B01K8RL9C2,B018F4H5DM,AGQSSZPF5DTU56OIYEZVVKTMKJIQ,1617048149237,0,True,So easy to use and recipients get to choose how to use it.,Secure,Secure. So easy to use and recipients get to choose how to use it.,正面,,,
5.0,Birthday surprise!,This was a good birthday surprise!,[],B01C9MW8Z6,B00JFBLZ90,AHHKNZRXSHRMSGS4WZU4G2XUFF6A,1578591695293,0,True,This was a good birthday surprise!,Birthday surprise!,Birthday surprise!. This was a good birthday surprise!,正面,,,
5.0,Birthday Gift,"Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving.",[],B077T9WSSN,B071X4ZX3X,AGOXD3ECHHH2XAFGO6TSSMRZJQVQ,1661888412555,0,True,"Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving.",Birthday Gift,"Birthday Gift. Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving.",正面,,,
5.0,Fun,Awesome & they work,[],B01MSBQB1P,B01MSBQB1P,AEMM65JNJARUZ23W4LY7737WXIXQ,1547951768806,0,True,Awesome & they work,Fun,Fun. Awesome & they work,正面,,,
5.0,Reload is super easy.,Really ready to reload gift cards.,[],B00IX1I3G6,B00IX1I3G6,AG57CQ6P4QWYMWUV6MTAOETUKHTA,1554034169706,1,True,Really ready to reload gift cards.,Reload is super easy.,Reload is super easy.. Really ready to reload gift cards.,正面,,,
5.0,Convenience of giftabiliy.,A great way to give a gift to family members in physical form. It was so convenient.,[],B071NM2PNL,B071X4ZX3X,AEN7KAKQJGIQCNK6NMVWH2WZ3YXQ,1608272055300,0,True,A great way to give a gift to family members in physical form. It was so convenient.,Convenience of giftabiliy.,Convenience of giftabiliy.. A great way to give a gift to family members in physical form. It was so convenient.,正面,,,
5.0,Great Gift Package,Nice gift packaging for any event,[],B014S24J16,B018F4M89S,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1472217049000,0,True,Nice gift packaging for any event,Great Gift Package,Great Gift Package. Nice gift packaging for any event,正面,,,
5.0,Grest Sandwitches !!,Perfect and I even used Amazon Points - was mailed right out.,[],B00CIECDEM,B00BXLW5QC,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1459026048000,0,True,Perfect and I even used Amazon Points - was mailed right out.,Grest Sandwitches !!,Grest Sandwitches !!. Perfect and I even used Amazon Points - was mailed right out.,正面,,,
5.0,GOOD PIZZA !!,Perfect and I even used Amazon Points - was mailed right out.,[],B00HLAO738,B00HLAO65M,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1459026010000,1,True,Perfect and I even used Amazon Points - was mailed right out.,GOOD PIZZA !!,GOOD PIZZA !!. Perfect and I even used Amazon Points - was mailed right out.,正面,,,
5.0,We like this Store and they stock Tons of different Items for all kinds of Pets,Our cats love this place.,[],B015726JLY,B00BXLVETG,AG3VXRJ5OUQDF3UAEOEIIZ6Z5Z3A,1449424730000,0,True,Our cats love this place.,We like this Store and they stock Tons of different Items for all kinds of Pets,We like this Store and they stock Tons of different Items for all kinds of Pets. Our cats love this place.,正面,,,
5.0,Money was loaded on card,Was cute and the money was loaded when it arrived,[],B076CV42TK,B076CV42TK,AHYARJU3M2CYM3W5SZYL33KOFVHA,1559406477298,0,True,Was cute and the money was loaded when it arrived,Money was loaded on card,Money was loaded on card. Was cute and the money was loaded when it arrived,正面,,,
5.0,Love it!!,This is an online gift card nothing to show sorry🤪,[],B086KKT3RX,B086KKT3RX,AFZ2WFNVLG46EXHEF5AEG4LNR5JQ,1670031712393,0,True,This is an online gift card nothing to show sorry🤪,Love it!!,Love it!!. This is an online gift card nothing to show sorry🤪,正面,,,
5.0,Five Stars,Gift cards are always a hit.,[],B0091JKY0M,B0091JKY0M,AHYPJP7HKAXKK2QZG3MRPVNHUQGQ,1490602754000,0,True,Gift cards are always a hit.,Five Stars,Five Stars. Gift cards are always a hit.,正面,,,
5.0,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,[],B072P5VV4D,B00ADR2LV6,AET5VFNIYKIHIPO3ZALZSLXX3KOQ,1514399125141,0,True,So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,So cool you can get a free tin with the gift ...,So cool you can get a free tin with the gift .... So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend.,正面,,,
5.0,Reccomend,Really easy to load,[],B00IX1I3G6,B00IX1I3G6,AF76P2AWQWB7ZDCNGZO2GV7JIK4Q,1613752140987,0,True,Really easy to load,Reccomend,Reccomend. Really easy to load,正面,,,
5.0,Little sister surprise,"Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation.  A combined birthday and Christmas present for one who knows her own mind.  Good choice!",[],B0091JKYLQ,B0091JKYLQ,AFEYY6TB5DOF2U4WCL7GRMNZREJA,1486682224000,0,True,"Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation. A combined birthday and Christmas present for one who knows her own mind. Good choice!",Little sister surprise,"Little sister surprise. Same gift as her big sister's, this little one can choose the exact thing she most desires and run to the door for three days in anticipation. A combined birthday and Christmas present for one who knows her own mind. Good choice!",正面,,,
1.0,"The added value was great, but no more",Purchasing an Amazon gift card came with an added monetary value but no more.<br /><br />A Bronx cheer for you!,[],B00IX1I3G6,B00IX1I3G6,AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,1638164827641,0,True,Purchasing an Amazon gift card came with an added monetary value but no more. A Bronx cheer for you!,"The added value was great, but no more","The added value was great, but no more. Purchasing an Amazon gift card came with an added monetary value but no more. A Bronx cheer for you!",中性,中性,"附加价值, 亚马逊礼品卡",[无]
4.0,Perfect gift!,This is near where I work and has a drive through.  Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,[],B07Q8KN5TJ,B07Q8KCGYT,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,1604369336892,0,True,This is near where I work and has a drive through. Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,Perfect gift!,Perfect gift!. This is near where I work and has a drive through. Nothing better during these times to give than a gift of good food they can pick up with minimal contact. Gift cards are the way to go these days!,正面,,,
4.0,Great staff appreciation gift!,What better gift during these times than one to treat yourself.  This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,[],B07Y5YJK66,B07Y5YJK66,AHNGFLCHE75OQH4PZFLNJTTKUBSQ,1604369109976,0,True,What better gift during these times than one to treat yourself. This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,Great staff appreciation gift!,Great staff appreciation gift!. What better gift during these times than one to treat yourself. This is a great gift I gave out to my staff and even those who don't read liked the idea of being able to listen to the audiobooks as well as there being content and other media through Audible.,正面,,,
5.0,Cute cute cute!,I love the tin! The gift cards can be ordered on different amounts.,[],B01C9MW8Z6,B00JFBLZ90,AFTPWW67O3POISX7RO75HMRHQL3Q,1527712711389,0,True,I love the tin! The gift cards can be ordered on different amounts.,Cute cute cute!,Cute cute cute!. I love the tin! The gift cards can be ordered on different amounts.,正面,,,
5.0,Five Stars,Simple and easy.,[],B00IX1I3G6,B00IX1I3G6,AEZJ2TU2SLZEDP2YXEM7UHTLM6EA,1513451925880,0,True,Simple and easy.,Five Stars,Five Stars. Simple and easy.,正面,,,
5.0,As described.,Being able to reload the gift card is a time saver.,[],B086KKT3RX,B086KKT3RX,AF2FG45QSSVK2WMLTGPTD5IZHSWA,1643240290899,0,True,Being able to reload the gift card is a time saver.,As described.,As described.. Being able to reload the gift card is a time saver.,正面,,,
5.0,Perfect gift for any occasion. Let them pick out what they love!,"I mean really, who wouldn't LOVE this?!?  Wonderful gift for any occasion.",[],B01MDLOM4V,B01B3DYSF0,AF36B77ISO4OHA5GUTF46F4BJRMQ,1496718858000,0,True,"I mean really, who wouldn't LOVE this?!? Wonderful gift for any occasion.",Perfect gift for any occasion. Let them pick out what they love!,"Perfect gift for any occasion. Let them pick out what they love!. I mean really, who wouldn't LOVE this?!? Wonderful gift for any occasion.",正面,,,
5.0,12 year old daughter loved this gift!,Perfect gift for your kids!,[],B005ESMHN6,B005ESMHN6,AF36B77ISO4OHA5GUTF46F4BJRMQ,1491786205000,0,True,Perfect gift for your kids!,12 year old daughter loved this gift!,12 year old daughter loved this gift!. Perfect gift for your kids!,正面,,,
5.0,Easy to send to an Amazon shopper,This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,[],B00IX1I3G6,B00IX1I3G6,AGV5IAI7ELBBT327V7EUBECMW6MQ,1560933495865,1,True,This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,Easy to send to an Amazon shopper,Easy to send to an Amazon shopper. This is a simple gift to friends or family. For me it was easy to setup. Took ok only about 30 seconds. I also redeem Visa gifts by giving the gift card to myself. I like there isnt a fee. I do want Amazon to make some cooler cards with my animation when a receiver gets it.,正面,,,
5.0,Rec'd promo from Amazon when reloading gift card.,"Bonus, rec'd a promo from Amazon for reloading gift card.  Yeah.<br /><br />Gift card was posted to my account quickly.",[],B00IX1I3G6,B00IX1I3G6,AFOU3KAJIZ7YQCXJ3CJOYJ3J7GSQ,1571823522128,0,True,"Bonus, rec'd a promo from Amazon for reloading gift card. Yeah. Gift card was posted to my account quickly.",Rec'd promo from Amazon when reloading gift card.,"Rec'd promo from Amazon when reloading gift card.. Bonus, rec'd a promo from Amazon for reloading gift card. Yeah. Gift card was posted to my account quickly.",正面,,,
5.0,Saves a Little Over time.,Nice way to save a few bucks overtime by reloading your own gift card.,[],B00IX1I3G6,B00IX1I3G6,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,1558233886561,0,True,Nice way to save a few bucks overtime by reloading your own gift card.,Saves a Little Over time.,Saves a Little Over time.. Nice way to save a few bucks overtime by reloading your own gift card.,正面,,,
5.0,What a great company,"Who wouldn't want an Amazon gift card?  The box foretold the contents, lol.",[],B005ESMF5G,B005ESMF5G,AGO3H7RLCHVCCYG44FAHDBYPUA4Q,1484281260000,0,True,"Who wouldn't want an Amazon gift card? The box foretold the contents, lol.",What a great company,"What a great company. Who wouldn't want an Amazon gift card? The box foretold the contents, lol.",正面,,,
1.0,A problem to use at drive thru's,"I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer.",[],B07RN957Q8,B07JMV25V6,AHZ53K26WSCRDR32EGBBA43OEFFA,1615898825149,4,True,"I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer.",A problem to use at drive thru's,"A problem to use at drive thru's. I only used the $50 card one time at Burger King. It was difficult to use. Must be run as credit, not as gift card. No remaining balance is given at the end of the transaction. And although it's on me, I misplaced or lost this card after only spending about $6 of it. I was hoping that the seller could provide me with the full card number so that I could at least use it online for other purchases. They failed to respond. I have the receipt from BK, but it only shows the last 4 numbers. There isn't a way of contacting happy cards customer service online that I could figure out. I wish I'd just stuck with credit cards. A lot safer.",负面,负面,"使用困难, 驱动窗口",[难以在驱动窗口使用]
5.0,A gift card does make a great gift for a tweenager.,"We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!!  You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",[],B00IX1I3G6,B00IX1I3G6,AFOELOYLQUGV6UDAZU2YLAOVZ4JA,1667152661548,0,True,"We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!! You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",A gift card does make a great gift for a tweenager.,"A gift card does make a great gift for a tweenager.. We all know the kid who wants nothing. Or actually wants everything but nothing is good enough. YES,YES,the secret weapon. A AMAZON GIFT CARD!! You pulled it off. You showed your love and you are the best and greatest. Happy Birthday to just because,You are the BEST!!",正面,,,
5.0,Nice to have,"This comes in  very handy, and makes the guilt less",[],B00IX1I3G6,B00IX1I3G6,AFICQHAE6YOEIGE5TYZG5TN7OTRQ,1501709478479,0,True,"This comes in very handy, and makes the guilt less",Nice to have,"Nice to have. This comes in very handy, and makes the guilt less",正面,,,
5.0,Excellent Gift,"Who would not like an Amazon Gift Card?  Makes everyone I give them, happy!",[],B071NM2PNL,B071X4ZX3X,AGSGQ6Z2XBJPLC5C2EOZDPCDXKDQ,1611444311497,0,True,"Who would not like an Amazon Gift Card? Makes everyone I give them, happy!",Excellent Gift,"Excellent Gift. Who would not like an Amazon Gift Card? Makes everyone I give them, happy!",正面,,,
5.0,Yay so easy!,So easy! No scraping!,[],B00IX1I3G6,B00IX1I3G6,AHCDZ4OXU7U4AWYCAK2674R3NYVQ,1494974249000,1,True,So easy! No scraping!,Yay so easy!,Yay so easy!. So easy! No scraping!,正面,,,
5.0,:),easy to use,[],B086KKT3RX,B086KKT3RX,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1653192933371,0,True,easy to use,:),:). easy to use,正面,,,
5.0,10/10,works great,[],B00IX1I3G6,B00IX1I3G6,AF4WLLHTQLRPEZ33OJDYG23MFLKQ,1582923781652,0,True,works great,10/10,10/10. works great,正面,,,
